Time Series ID,Data Point Date,Value,Comp TS Value,Is Proxy,Proxy Comments,Approved By
7.2E+12,01/28/2009,2.8625,,,,
7.2E+12,01/29/2009,2.8025,,,,
7.2E+12,01/30/2009,2.8425,,,,
7.2E+12,02/02/2009,2.8475,,,,
7.2E+12,02/03/2009,2.8725,,,,
7.2E+12,02/04/2009,2.905,,,,
7.2E+12,02/05/2009,2.91,,,,
7.2E+12,02/06/2009,3.005,,,,
7.2E+12,02/09/2009,2.85,,,,
7.2E+12,02/10/2009,2.85,,,,
7.2E+12,02/11/2009,2.835,,,,
7.2E+12,02/12/2009,2.8425,,,,
7.2E+12,02/13/2009,2.85,,,,
7.2E+12,02/16/2009,3.0325,,,,
7.2E+12,02/17/2009,2.8925,,,,
7.2E+12,02/18/2009,2.8475,,,,
7.2E+12,02/19/2009,2.8525,,,,
7.2E+12,02/20/2009,2.845,,,,
7.2E+12,02/23/2009,2.855,,,,
7.2E+12,02/24/2009,2.82,,,,
7.2E+12,02/25/2009,2.82,,,,
7.2E+12,02/26/2009,2.815,,,,
7.2E+12,02/27/2009,2.8325,,,,
7.2E+12,03/02/2009,2.8525,,,,
7.2E+12,03/03/2009,2.9275,,,,
7.2E+12,03/04/2009,2.895,,,,
7.2E+12,03/05/2009,3.045,,,,
7.2E+12,03/06/2009,3.1125,,,,
7.2E+12,03/09/2009,2.9625,,,,
7.2E+12,03/10/2009,2.9475,,,,
7.2E+12,03/11/2009,2.6,,,,
7.2E+12,03/12/2009,2.6125,,,,
7.2E+12,03/13/2009,2.6475,,,,
7.2E+12,03/16/2009,2.6325,,,,
7.2E+12,03/17/2009,2.55,,,,
7.2E+12,03/18/2009,2.5625,,,,
7.2E+12,03/19/2009,2.6675,,,,
7.2E+12,03/20/2009,2.7325,,,,
7.2E+12,03/23/2009,2.5525,,,,
7.2E+12,03/24/2009,2.5675,,,,
7.2E+12,03/25/2009,2.58,,,,
7.2E+12,03/26/2009,2.7425,,,,
7.2E+12,03/27/2009,2.5625,,,,
7.2E+12,03/30/2009,2.58,,,,
7.2E+12,03/31/2009,2.64,,,,
7.2E+12,04/01/2009,2.65,,,,
7.2E+12,04/02/2009,2.655,,,,
7.2E+12,04/03/2009,2.665,,,,
7.2E+12,04/06/2009,2.9775,,,,
7.2E+12,04/07/2009,3.02,,,,
7.2E+12,04/08/2009,3.015,,,,
7.2E+12,04/09/2009,3.04,,,,
7.2E+12,04/10/2009,2.93,,,,
7.2E+12,04/13/2009,2.72,,,,
7.2E+12,04/14/2009,2.67,,,,
7.2E+12,04/15/2009,2.665,,,,
7.2E+12,04/16/2009,2.58,,,,
7.2E+12,04/17/2009,2.665,,,,
7.2E+12,04/20/2009,2.665,,,,
7.2E+12,04/21/2009,2.66,,,,
7.2E+12,04/22/2009,2.73,,,,
7.2E+12,04/23/2009,2.745,,,,
7.2E+12,04/24/2009,2.715,,,,
